Date,Predicted_Close,Pct_vs_last
2026-03-10,1407.17,0.55
2026-03-11,1409.57,0.72
2026-03-12,1411.97,0.89
2026-03-13,1414.37,1.06
2026-03-16,1416.77,1.23
2026-03-17,1419.17,1.41
2026-03-18,1421.6,1.58
2026-03-19,1424.04,1.75
2026-03-20,1426.47,1.93
2026-03-23,1428.93,2.1
2026-03-24,1431.41,2.28
2026-03-25,1433.85,2.45
2026-03-26,1436.31,2.63
2026-03-27,1438.77,2.81
2026-03-30,1441.26,2.98
2026-03-31,1443.74,3.16
2026-04-01,1446.25,3.34
2026-04-02,1448.8,3.52
2026-04-03,1451.35,3.7
2026-04-06,1454.06,3.9
2026-04-07,1456.79,4.09
2026-04-08,1459.55,4.29
2026-04-09,1462.33,4.49
2026-04-10,1465.14,4.69
2026-04-13,1468.03,4.9
2026-04-14,1470.92,5.1
2026-04-15,1473.81,5.31
2026-04-16,1476.77,5.52
2026-04-17,1479.95,5.75
2026-04-20,1483.27,5.99
